Id,SalePrice
1461,121971.4571155422
1462,157030.1246936398
1463,178393.91892319501
1464,188373.13171991025
1465,190600.70021430493
1466,175335.3075907191
1467,171558.50704873173
1468,168208.53178568225
1469,185759.24343382264
1470,126424.45157317843
1471,194239.5492246024
1472,96078.80197581318
1473,98401.08188554832
1474,151708.50152472508
1475,127164.37684849868
1476,389187.9052128239
1477,254922.59805595042
1478,302915.03859259386
1479,278692.0174194859
1480,473348.3452337031
1481,333269.9522937428
1482,206535.71783536713
1483,171691.21410723275
1484,166559.9987924075
1485,179036.1845131833
1486,191249.5614058602
1487,351203.51133417187
1488,226803.16363855216
1489,202599.66306872768
1490,217511.89731723256
1491,188874.26343045424
1492,90685.45935743816
1493,181456.81860082175
1494,303107.1471281294
1495,299403.8729310974
1496,233936.60942811414
1497,186664.4553844983
1498,163080.00429775042
1499,160011.2110618975
1500,157980.98582247802
1501,176703.06883100796
1502,154360.70906903438
1503,287005.6677750189
1504,236941.13133619973
1505,224873.46364913107
1506,184728.79558103005
1507,235153.00418571263
1508,203024.75369412388
1509,159463.43074668443
1510,150866.64020245298
1511,148533.07731616445
1512,169978.69021009398
1513,146507.18675976625
1514,161474.90173778986
1515,188899.1453031034
1516,156040.7873975653
1517,161428.91998685634
1518,131229.5990265223
1519,216909.34131847598
1520,134540.03398692652
1521,136064.1518551786
1522,172530.61780053852
1523,111575.25391134818
1524,127434.2704156921
1525,124201.36339323512
1526,120260.92888927367
1527,109767.49702206593
1528,127914.17836651095
1529,149279.24826440954
1530,177144.4900115005
1531,113327.30815376466
1532,101035.31574886534
1533,145479.23336351174
1534,114635.46111520307
1535,145709.08851889998
1536,108934.0350806492
1537,66622.95581216118
1538,160820.6065971434
1539,212596.1744168771
1540,94157.92647058191
1541,142327.64951459353
1542,137300.31666954455
1543,204285.4822740376
1544,85905.6998345162
1545,107114.80846557731
1546,132546.92137490417
1547,133164.700699909
1548,132633.2724729661
1549,113035.90671164512
1550,140034.1527282841
1551,111318.85146282401
1552,132850.19041229176
1553,144796.87138441717
1554,118294.68707926857
1555,166846.13945629416
1556,85215.44378550284
1557,107128.41493693435
1558,95656.63935024098
1559,77681.95592960391
1560,139102.3669646506
1561,131523.7879334322
1562,130249.79475887827
1563,126066.772747195
1564,154988.57820258787
1565,148603.3089054369
1566,237098.08637844247
1567,72782.5528266132
1568,228833.94901325632
1569,137716.09500097716
1570,134480.55218457643
1571,116413.04728554553
1572,142959.4230171723
1573,230968.60574680287
1574,114178.11940362249
1575,223972.23531576298
1576,224793.9175639758
1577,191946.27500563505
1578,149182.66315777562
1579,143505.44523098908
1580,187453.1786098067
1581,151991.6419481815
1582,130676.44639418514
1583,314588.48392467125
1584,221898.38138881372
1585,138747.21973003546
1586,66777.74305049736
1587,102924.66593767844
1588,146281.41986029045
1589,93372.27428754332
1590,131062.26161764671
1591,99096.95709949895
1592,115924.0294030491
1593,128942.54265951121
1594,127000.42132456476
1595,115380.69871934426
1596,238154.6674654521
1597,182244.7052206457
1598,208782.3658513531
1599,175493.02448792162
1600,175151.6374607593
1601,68085.01562183557
1602,113502.88526358875
1603,80915.45505904799
1604,276100.09058016737
1605,249734.16864640597
1606,169695.7125957599
1607,164460.25307015044
1608,221210.65707510232
1609,189277.89669418742
1610,157607.81032812226
1611,142523.69401031276
1612,160256.5919664046
1613,161663.69932761102
1614,126772.84679295227
1615,87954.17862887528
1616,76874.83543529827
1617,90325.1475621463
1618,126875.40018680526
1619,137674.68636841982
1620,154633.4694971002
1621,135657.8367535439
1622,137959.5188065861
1623,283322.6885265555
1624,212432.99657620932
1625,122435.34010804123
1626,169059.4377100279
1627,185390.3037148431
1628,275141.17633941054
1629,178495.13655430256
1630,340490.66746913467
1631,227089.25428798277
1632,246783.7890219788
1633,168899.34846896285
1634,189150.5790068297
1635,180870.50379398026
1636,156745.45234533865
1637,197613.83096143857
1638,196749.44350874232
1639,179399.06423777295
1640,247032.2054988851
1641,177286.83142502382
1642,236773.48596281675
1643,226181.11074636772
1644,233863.28396786004
1645,185170.29918054864
1646,158722.86988337597
1647,157474.31024651215
1648,133023.3936477296
